t=2025-08-09T23:08:01-0500 lvl=info msg="no configuration paths supplied"
t=2025-08-09T23:08:01-0500 lvl=info msg="using configuration at default config path" path=/home/tunji/.config/ngrok/ngrok.yml
t=2025-08-09T23:08:01-0500 lvl=info msg="open config file" path=/home/tunji/.config/ngrok/ngrok.yml err=nil
t=2025-08-09T23:08:01-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-08-09T23:08:01-0500 lvl=info msg=start pg=/api/tunnels id=0c86fd0d11fe607d
t=2025-08-09T23:08:01-0500 lvl=info msg=end pg=/api/tunnels id=0c86fd0d11fe607d status=200 dur=237.137µs
t=2025-08-09T23:08:01-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-08-09T23:08:01-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-08-09T23:08:01-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://81b6c4d190fc.ngrok-free.app
t=2025-08-09T23:08:02-0500 lvl=info msg=start pg=/api/tunnels id=401a5bc779898eb8
t=2025-08-09T23:08:02-0500 lvl=info msg=end pg=/api/tunnels id=401a5bc779898eb8 status=200 dur=237.869µs
t=2025-08-09T23:08:06-0500 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.equinox.io/check\": context deadline exceeded"
t=2025-08-09T23:11:14-0500 lvl=info msg="join connections" obj=join id=cbd07b996a3e l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:11:59-0500 lvl=info msg="join connections" obj=join id=3eddf0194407 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:12:09-0500 lvl=info msg="join connections" obj=join id=eecd5b5076c9 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:12:09-0500 lvl=info msg="join connections" obj=join id=a09ddf65ea7f l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:12:19-0500 lvl=info msg="join connections" obj=join id=3da60057de66 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:12:19-0500 lvl=info msg="join connections" obj=join id=65fc360a5061 l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:12:29-0500 lvl=info msg="join connections" obj=join id=0e3efb100fbb l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:12:29-0500 lvl=info msg="join connections" obj=join id=867aad96670f l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:12:39-0500 lvl=info msg="join connections" obj=join id=30d088d7bd6f l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
t=2025-08-09T23:12:39-0500 lvl=info msg="join connections" obj=join id=dd499078c53b l=127.0.0.1:3001 r=[2600:382:10f0:b127:a17c:2c36:ac88:ac92]:50799
